;accountName;saleDate;totaltransactions;avgprice;lastprice;differentip;lifespan;number_of_week;weekend;lastmethod;country;orderfreq;return
74096;47a063630426ae842c48d10d5ce5;2012;1;1.5;1.5;1;1;6;1;1000;64;1.0;0
74109;87cbb07e6bfb63d79b4a6d6e7711;2012;1;2.0;2.0;1;1;6;1;40;97;1.0;0
74121;26aeb8cac7d428d23c03279c4edf;2012;1;7.599;7.599;1;1;6;1;1000;124;1.0;0
74122;5b7cfb79b4dcd4f1cdc203eed1c2;2012;1;3.035;3.035;1;1;6;1;1000;124;1.0;0
74125;a92ae66c077f9aa964c079e9dced;2012;3;3.5;3.0;1;3;1;0;1000;43;1.0;0
74130;2fad9325b9edad91174832307c1b;2012;1;5.0;5.0;1;1;6;1;1000;57;1.0;0
74133;7cd4c5444f6ab9bc06808213d518;2012;2;0.884;0.884;1;1;6;1;1000;97;0.5;0
74140;b498a180667e7f478d2a09ede2fe;2012;9;8.76777777778;0.99;5;96;4;0;1000;32;10.6666666667;0
74145;33f41969b19b7c51a457099fd54a;2012;12;2.4075;0.99;7;404;4;0;1000;32;33.6666666667;0
74157;f9fedaaa1c8aa9586af8e4a10425;2012;10;4.05;4.5;2;6;5;1;1000;43;0.6;0
74163;ee3220d17903f7e73d58c7f357d0;2012;1;1.99;1.99;1;1;6;1;1000;32;1.0;0
74169;8e472dd9b62a7c8db30f703a7073;2012;2;7.578;7.557;1;1;0;0;1000;124;0.5;0
74187;156baf60c6e62eb2b338d26398f3;2012;1;7.599;7.599;1;1;6;1;1000;124;1.0;0
74189;e355f16f3524d79924a7b9744b54;2012;1;0.992;0.992;1;1;6;1;1000;126;1.0;0
74205;90e47626012d5536bdcf2ac59a9b;2012;3;10.0;10.0;2;42;6;1;40;90;14.0;0
74222;1691ddbd85278d70c290e5bb1f66;2012;2;12.5;15.0;1;7;6;1;30;90;3.5;0
74225;3e7d7a046902e43a889dce345cc1;2012;25;1.7304;1.539;5;306;4;0;1000;10;12.24;0
74229;ddf83efd147b73f5f13cf4b1a66e;2012;1;2.0;2.0;1;1;6;1;1000;100;1.0;0
74244;42a24fb524d630b1acdb422411b5;2012;7;2.15242857143;1.511;1;27;5;1;1000;124;3.85714285714;0
74260;1008653f0b3d20c56dca648358ff;2012;3;10.0;10.0;1;9;1;0;40;90;3.0;0
74268;f0e6af3f993dcbdd0c25a01766ef;2012;14;8.71428571429;10.0;13;623;6;1;80;15;44.5;1
74273;7acb6cf5c227672668485b0c2a88;2012;2;1.5;1.5;2;2;1;0;1000;64;1.0;0
74275;3b92ffcfeb609d1a4cebcb6e1dc7;2012;3;1.27233333333;1.465;1;63;6;1;1000;97;21.0;0
74284;73ec5b869ac261c047ee79128b6a;2012;1;1.5;1.5;1;1;0;0;1000;43;1.0;0
74286;e16de570bb1067854f9d0f251075;2012;6;3.32333333333;1.99;6;110;4;0;1000;32;18.3333333333;0
74293;993c6e4dc74dc99f8389e1cdc4cb;2012;6;4.0;4.5;1;95;3;0;1000;1;15.8333333333;0
74302;6102ff773566103329b77681d629;2012;1;4.0;4.0;1;1;0;0;1000;100;1.0;0
74304;40592b49ae582e816474f421c3db;2012;2;10.0;10.0;2;359;2;0;40;30;179.5;1
74305;52d48bab2cbbd72c4f58f2b9c1c6;2012;2;10.0;10.0;1;1;0;0;40;32;0.5;0
74306;703220eb8142822a7d48527bd9ff;2012;1;3.0;3.0;1;1;0;0;1000;64;1.0;0
74310;3e7425f87fff4d0753f76d8a5f2c;2012;6;10.0;10.0;6;65;2;0;40;50;10.8333333333;0
74315;0d6b5e9560b80013c7b19a12e4d3;2012;19;11.8421052632;15.0;4;463;0;0;30;90;24.3684210526;0
74316;53bde478b884648eb48929447190;2012;8;8.49875;3.99;3;155;1;0;1000;32;19.375;0
74320;4e268b14c3c4b4daff491d02d6b5;2012;2;10.0;10.0;2;7;0;0;40;50;3.5;0
74328;34c094676d3e18edaa1541c148bb;2012;1;5.0;5.0;1;1;0;0;30;90;1.0;0
74338;dfd547ad300a8afa1f0239c49a4a;2012;27;6.21222222222;0.99;17;124;4;0;1000;32;4.59259259259;0
74339;32ef180aaf3c3c613bcb87dcd1b0;2012;3;1.99;0.99;2;391;5;1;1000;32;130.333333333;0
74350;994d479105b9b87489be146cc8b0;2012;1;10.0;10.0;1;1;0;0;20;43;1.0;0
74362;d2e9bd1937069a3d571ff45079df;2012;4;11.24;9.99;2;1;1;0;1000;32;0.25;0
74363;0829162326e7e7f687fc69e29987;2012;11;3.26272727273;3.99;11;347;4;0;1000;32;31.5454545455;0
74375;1559a25368ccda1517f40e8a30ad;2012;3;30.4043333333;41.51;1;6;6;1;1000;24;2.0;0
74379;a0062e28bd3c0f08b7aaf3788ce9;2012;4;2.7475;1.0;2;280;0;0;40;11;70.0;0
74382;9573f6da61c5f4b5fa35701ef1fc;2012;48;13.75;15.0;2;450;2;0;40;40;9.375;0
74387;89c7bfbd0b9bbb667b71237a90e1;2012;2;6.5;10.0;2;8;1;0;40;90;4.0;0
74390;7cc0895a960b48deb578760a6a94;2012;3;4.52833333333;3.011;1;2;2;0;1000;124;0.666666666667;0
74391;c4df3778accf76a1bbb70f60ad0e;2012;1;4.0;4.0;1;1;0;0;1000;100;1.0;0
74400;d207ecfc601e82379a4a70ae31e0;2012;18;3.04555555556;0.99;15;100;1;0;1000;32;5.55555555556;0
74411;9c55187f70edfe6e7aa8589682f5;2012;1;1.99;1.99;1;1;0;0;1000;32;1.0;0
74417;e4becbec7e64929fa5dd4a30e4c0;2012;4;20.0;25.0;1;361;4;0;30;90;90.25;0
74418;935a7626ff453b8a63fdf4103559;2012;1;0.792;0.792;1;1;0;0;1000;109;1.0;0
74420;eabe51f8250906dba7cd839439ce;2012;2;6.5;3.0;1;27;6;1;40;90;13.5;0
74433;e097bd18f1b4e993ee3cfcae110c;2012;1;10.0;10.0;1;1;0;0;40;50;1.0;1
74437;297846f2e9e6970ff6b98c5140e3;2012;1;1.5;1.5;1;1;0;0;1000;43;1.0;0
74445;12ab58cf12c1ef9fe237ec9d922c;2012;29;3.33482758621;0.99;19;109;4;0;1000;32;3.75862068966;0
74449;bd86a4a626a888df7a36c6dda8d5;2012;1;10.0;10.0;1;1;0;0;40;100;1.0;0
74451;60792664a22ec1e6be9a04cc7006;2012;4;9.448;7.557;1;1;0;0;1000;124;0.25;0
74457;8d22886e7eac7666c4b77723c1ec;2012;1;3.0;3.0;1;1;0;0;1000;43;1.0;0
74460;60b1605d708051cdcf8795d7acbb;2012;14;11.5707142857;10.0;7;597;2;0;40;32;42.6428571429;1
74462;2c634f0906a8921e78c50f0b4dab;2012;25;7.52352;7.643;1;46;4;0;1000;124;1.84;0
74463;022e0a8ff9a9f1805c5e6558682f;2012;46;7.50797826087;7.486;1;44;2;0;1000;124;0.95652173913;0
74471;9154e65b4a4ca3de9431ff80df42;2012;1;15.121;15.121;1;1;1;0;1000;124;1.0;0
74488;f08e6c03b4a5d06e148a934ceadf;2012;5;7.0;10.0;3;98;0;0;30;90;19.6;0
74491;726122ca2315eb5288358119d89a;2012;17;10.3402941176;5.321;2;55;0;0;1000;124;3.23529411765;0
74497;cc0d9b0a341d14b6f95e61a9adf5;2012;1;40.0;40.0;1;1;1;0;20;43;1.0;0
74503;cac70878683c604f96bc5d22487d;2012;6;9.0;10.0;1;3;3;0;40;32;0.5;0
74507;8fd30134048f4a9ab05e1b7c0c7c;2012;14;3.34928571429;1.99;13;105;0;0;1000;32;7.5;0
74509;884991b8dfc3d16492e2d2a3600c;2012;16;4.71875;4.5;2;408;3;0;1000;43;25.5;0
74512;d544c1fae99d6fedc8a48a658834;2012;11;7.63636363636;5.0;6;477;1;0;40;32;43.3636363636;0
74516;b283d4f3d477dcf36a3083ba98f1;2012;1;4.0;4.0;1;1;1;0;1000;100;1.0;0
74524;86b1a5b84e6877461d444965aa3a;2012;1;5.0;5.0;1;1;1;0;30;90;1.0;0
74528;3634beeed133614e742d0db4889c;2012;11;4.90363636364;6.99;4;161;1;0;1000;32;14.6363636364;0
74534;a9dc2d0c9c28dd2b78e379c2e45d;2012;15;8.06666666667;1.5;9;125;6;1;1000;43;8.33333333333;0
74535;d8d27b7d1d0d8f75b9769dab3dbe;2012;1;15.0;15.0;1;1;1;0;1000;64;1.0;0
74540;f3cc7841b9aa385a6680f307c506;2012;2;2.2555;2.008;2;16;2;0;1000;88;8.0;0
74541;5978fd22c4cbae152693485c0e18;2012;1;5.0;5.0;1;1;1;0;40;32;1.0;0
74548;3e930e5d1651e650e1fd902551ce;2012;1;7.08;7.08;1;1;1;0;1000;40;1.0;0
74555;a3c9b436ca8bead4f62892172790;2012;66;10.6060606061;10.0;3;299;5;1;40;24;4.5303030303;0
74566;f9ea1bf6c55bd6794651abb762e5;2012;1;3.99;3.99;1;1;1;0;1000;32;1.0;0
74567;a500c56e6f4f61be80d4e8416440;2012;3;2.32333333333;3.99;3;90;6;1;1000;32;30.0;1
74569;f9d3a9e6595c96b83985bff5f39a;2012;4;77.4975;100.0;3;341;6;1;61;15;85.25;0
74570;35f1caba06da0fca31c5fdecc2f6;2012;2;3.0;3.0;2;61;6;1;1000;64;30.5;0
74577;45221b177282f05db49533150d1c;2012;4;16.0;30.0;3;106;1;0;60;32;26.5;0
74582;d8ce02614c1db4c8eb22b9fb06d3;2012;6;32.0146666667;24.921;6;120;2;0;1010;109;20.0;0
74598;df65c8b6fcb0ee6bf3a8ddfb7805;2012;3;15.0;15.0;2;406;0;0;30;90;135.333333333;0
74613;9a26e48ae54afa8df3789fb87aec;2012;2;7.538;7.538;1;1;1;0;1000;124;0.5;0
74626;415513cf40e8676f1f47e7141c83;2012;1;5.0;5.0;1;1;1;0;90;15;1.0;0
74640;67e3e5ec63d4baaf1388127dd1fa;2012;1;3.0;3.0;1;1;1;0;1000;64;1.0;0
74642;009979165b3cee43e823c372882f;2012;29;3.9924137931;10.0;19;292;6;1;40;32;10.0689655172;0
74656;38ac9c8ec4972adc7ceb4f5487f9;2012;5;18.6;20.0;2;99;2;0;30;90;19.8;0
74662;56f1ec5d88dfaf369d0a2898ae5f;2012;2;4.5;4.5;1;2;2;0;1000;43;1.0;0
74665;9b60cd961286fccfc000d07ed8e9;2012;6;2.75;3.0;2;34;0;0;1000;90;5.66666666667;0
74721;07bab824c0339dfe3899dc99ae0e;2012;6;0.984;0.984;1;1;2;0;1000;126;0.166666666667;0
74727;403f4f11ee45ecb58b9c91aae25b;2012;2;13.116;23.221;2;87;5;1;1000;124;43.5;0
74728;3f21ea18f843b237dbe5c9e46b8c;2012;8;8.9925;10.0;5;452;5;1;40;32;56.5;0
74742;2c4470745804fa37c3239831377f;2012;1;10.0;10.0;1;1;2;0;40;11;1.0;0
74743;a32b9c54b9da69d088f87aa048d6;2012;21;2.92857142857;3.0;1;54;6;1;1000;90;2.57142857143;0
74746;60b34416a500c8eb5649a692d68b;2012;1;2.0;2.0;1;1;2;0;40;90;1.0;0
74752;56ab9ad8070618de8c6437487d58;2012;8;2.908875;4.162;2;54;6;1;1000;24;6.75;0
74755;90ec409dd231fea300e3dac9385c;2012;1;0.795;0.795;1;1;2;0;1000;109;1.0;0
74759;e71a1e1376b77fc9e7145fbd8ac5;2012;6;14.6616666667;25.0;1;114;3;0;40;32;19.0;0
74772;11f568f93130a85f667849a85de8;2012;13;10.3769230769;20.0;11;283;5;1;1000;32;21.7692307692;0
74778;dc2054afd537ddc98afd93471364;2012;111;10.0;10.0;7;636;0;0;40;11;5.72972972973;0
74787;b21a8ea71387272a4a4c4ba44181;2012;1;10.0;10.0;1;1;2;0;40;50;1.0;0
74807;70eeb350c95ee198a2776faf3b21;2012;6;6.3985;0.99;2;664;1;0;1000;24;110.666666667;1
74815;2867738c16d625d420353f5780b8;2012;2;15.0;20.0;1;1;2;0;20;20;0.5;0
74820;c503ce394a60dfd678a5ad8bb6ee;2012;1;25.0;25.0;1;1;2;0;40;32;1.0;0
74821;97f95722a446d3661ba3b810be67;2012;16;7.430625;10.0;13;272;1;0;40;32;17.0;0
74823;4013d4f91435fa6b03dde71664e2;2012;5;9.59;3.99;4;15;3;0;1000;32;3.0;0
74824;bc1b4276db227552e0d8ca1afe67;2012;1;2.0;2.0;1;1;2;0;1000;100;1.0;0
74827;d1cb572167ea447d71e9855afdfd;2012;1;10.0;10.0;1;1;2;0;30;90;1.0;0
74838;3d68baad2cc50d6045f846e6a7ea;2012;26;3.63461538462;4.5;3;385;2;0;1000;43;14.8076923077;0
74844;1e4405ff54220f63c5d928560205;2012;1;3.0;3.0;1;1;2;0;1000;64;1.0;0
74850;d2fd8a8e1e92e37af567b38cbe02;2012;1;3.0;3.0;1;1;2;0;1000;43;1.0;0
74856;660020d64ecc74868bf9076d85a9;2012;1;10.0;10.0;1;1;2;0;40;50;1.0;0
74865;b67f3456cabdd226badcbedeb71f;2012;1;20.0;20.0;1;1;2;0;20;40;1.0;1
74869;7ae6d67cb8cc7ae0422e163dda5b;2012;12;7.6;1.3;6;555;4;0;2000;90;46.25;0
74870;4cfebd0b503e6442a342f0d26da2;2012;1;3.787;3.787;1;1;2;0;1000;23;1.0;0
74872;8ce2d6bf2920f77216ebb5aa4bad;2012;2;7.551;7.551;1;1;2;0;1000;124;0.5;0
74875;15380b4772d4e3d992908dcff165;2012;4;12.5;5.0;1;5;0;0;30;90;1.25;0
74880;dc4e7b83ac381dd2a8cade788e1f;2012;2;3.0;2.0;2;6;1;0;1000;100;3.0;0
74881;8f80a739a7612d28f75cbd66e5da;2012;3;14.9933333333;9.99;3;3;5;1;1000;32;1.0;0
74893;3e6f5ad6fad19c69a7a1a899e8a6;2012;15;10.9333333333;10.0;5;671;1;0;30;90;44.7333333333;0
74894;8a6e11c4cbd7a13aadb5d5de0f0b;2012;7;2.71428571429;1.0;6;34;1;0;1000;42;4.85714285714;0
74895;d9955549a05f58b63205354772e4;2012;5;1.1856;1.124;2;22;3;0;1000;26;4.4;0
74898;2ce76dab9db64ce6a427001ab103;2012;10;3.75;4.5;5;95;6;1;1000;43;9.5;0
74901;3ee9c522eb10fbb97d6fea9cf37d;2012;8;11.918;12.003;3;38;6;1;1000;44;4.75;0
74932;107fa7ed49ada2ed0780c6a5f09d;2012;1;7.551;7.551;1;1;3;0;1000;124;1.0;0
74938;2e20dad066fe4aa51100548bee29;2012;1;7.551;7.551;1;1;3;0;1000;124;1.0;0
74955;9ea28aa72f9e8b7d4953f27b5ba5;2012;4;3.75;4.5;2;54;0;0;1000;43;13.5;0
74956;c613c5fa9b5c27807edd3752c997;2012;3;4.5;4.5;1;4;0;0;1000;43;1.33333333333;0
74962;7848545ebf1bf4e40698598cf38c;2012;11;3.68181818182;3.0;2;184;4;0;1000;43;16.7272727273;1
74969;e0e7fe495a835c53f0ab52c90f00;2012;1;0.795;0.795;1;1;3;0;1000;109;1.0;0
74970;ae746cfc4138664a8ae4cc8b735f;2012;1;1.704;1.704;1;1;3;0;1000;109;1.0;0
74982;e643eed67cd77a52c0d1ca39a90c;2012;2;10.0;10.0;1;1;3;0;40;50;0.5;0
74983;38d3a4bdcd3f79b18a5e79aac13f;2012;4;25.0;25.0;1;12;0;0;40;124;3.0;0
74984;17576b905bcf256ab4b48a635449;2012;2;8.9505;11.899;2;2;5;1;1000;110;1.0;0
75013;be2549f9bde0860b49b115660599;2012;19;4.42105263158;4.5;2;149;5;1;1000;43;7.84210526316;0
75018;a92a504469ebe0f075f2cb328935;2012;1;4.5;4.5;1;1;3;0;1000;43;1.0;0
75024;c231b06ca5a6adcbca66bd555085;2012;6;3.08333333333;3.0;1;74;0;0;1000;90;12.3333333333;0
75029;9325499715d4c4c3c3b045ba6718;2012;1;4.5;4.5;1;1;3;0;1000;43;1.0;0
75034;2e240c1a3fa34570c7fd34f24968;2012;4;10.0;10.0;2;9;4;0;90;100;2.25;0
75038;952f2c7027e7281453d702a90ed8;2012;4;10.0;10.0;4;337;4;0;40;32;84.25;0
75040;acf3d9acdeb8d9911b6a941a7fa9;2012;61;10.4098360656;10.0;8;529;0;0;40;30;8.67213114754;0
75041;c6268c87e2431f54a1d4e354e245;2012;13;13.4615384615;10.0;9;630;3;0;40;32;48.4615384615;1
75046;f922252f2af1ab763ce4c192bbf3;2012;2;6.8195;1.772;2;3;6;1;1000;40;1.5;0
75055;b9735f67f6571f1679f0149a97b0;2012;4;3.125;3.0;2;3;6;1;1000;64;0.75;0
75061;c45673a4f607fb87a6f12c283415;2012;1;50.0;50.0;1;1;3;0;20;43;1.0;0
75083;7599b0fecffbcd9a3262223fc54a;2012;2;10.0;10.0;2;152;1;0;40;32;76.0;0
75085;6115fc733e7f8d99091a613a1c4b;2012;8;17.5;25.0;1;108;6;1;30;90;13.5;0
75089;a8158c6d5f92f6f46b741f72f0e3;2012;4;12.5;20.0;3;6;2;0;90;80;1.5;0
75090;638f2463680ee913bcb7f28db678;2012;2;2.49;0.99;1;3;6;1;1000;43;1.5;0
75107;80cc60b85897512b9b8e9e031c3b;2012;1;20.0;20.0;1;1;3;0;30;90;1.0;0
75121;f195b65752cd013bf11a946a5e68;2012;1;0.99;0.99;1;1;3;0;1000;32;1.0;0
75122;cf442608e81a389254e590e4c4e8;2012;1;20.0;20.0;1;1;3;0;30;90;1.0;0
75123;785f11d4e955168294b7f34ff5e1;2012;11;4.90181818182;10.0;7;442;4;0;40;32;40.1818181818;0
75127;f6a24580823da8ddcc9b421e1a78;2012;1;4.5;4.5;1;1;3;0;1000;43;1.0;0
75143;cc7155225b9323ac08a4cf829757;2012;1;7.527;7.527;1;1;4;0;1000;23;1.0;0
75144;d83168f8904f1ac3151ba91d6a6a;2012;1;0.981;0.981;1;1;4;0;1000;126;1.0;0
75160;7213fe22668ed0c0553fc8f3f491;2012;3;3.5;1.5;1;4;0;0;1000;43;1.33333333333;0
75161;b1acebfa9e0b9dd8acd5954cd26b;2012;1;4.5;4.5;1;1;4;0;1000;43;1.0;0
75163;365dd04116a12c52f7c11b1b5fdc;2012;4;2.24;0.99;4;63;3;0;1000;32;15.75;0
75169;15087ded5359a9335483d182a531;2012;1;6.99;6.99;1;1;4;0;1000;32;1.0;0
75204;c5ce87878e8b405e0eb7fa8bef95;2012;5;18.0;50.0;2;108;6;1;20;91;21.6;0
75211;6d1ee0eae797ccff62627ced09bd;2012;36;3.25;3.0;8;279;2;0;1000;43;7.75;0
75213;8634186e87df65fecc74bc237548;2012;6;1.82333333333;0.99;2;2;5;1;1000;32;0.333333333333;0
75217;3b8f35a22c44b0c8a44649ea299f;2012;2;10.0;10.0;2;57;4;0;40;50;28.5;0
75220;9b45dc8fcd4af2ddd510bf50cd63;2012;1;20.0;20.0;1;1;4;0;30;90;1.0;0
75239;6a6d3bd1bff3b6d77a9f5e73b587;2012;2;10.0;10.0;1;1;5;1;40;50;0.5;0
75250;a80d1f660d47fab6c33f392737e9;2012;13;40.0;50.0;8;471;5;1;40;11;36.2307692308;0
75257;1cc8e6125e0b5b3d9c31dfb190f8;2012;17;12.6470588235;10.0;3;518;4;0;40;40;30.4705882353;0
75267;7b6c752253273ab98b841e2eaffe;2012;5;17.596;0.99;3;78;5;1;1000;32;15.6;0
75273;e5c4d65e99c0f6520a7f22032a65;2012;1;10.0;10.0;1;1;4;0;40;11;1.0;0
75283;74f19ad65f7d1aa0f4d22fa0ee1e;2012;11;13.3627272727;10.0;7;400;4;0;61;32;36.3636363636;0
75285;93fe7ae60f7c3dc93f496799a5a0;2012;4;13.75;15.0;2;3;0;0;1000;64;0.75;0
75289;416ab73e98764b696307eb8027c0;2012;1;10.0;10.0;1;1;4;0;40;50;1.0;0
75298;92af101a309b337d379c14b4f197;2012;3;15.0;25.0;1;4;1;0;40;90;1.33333333333;0
75302;c29b50f01960d2341ee830737f0b;2012;11;10.0;10.0;7;429;6;1;40;15;39.0;0
75312;4f298a94096362d394f67c776923;2012;1;0.884;0.884;1;1;4;0;1000;97;1.0;0
75316;47b046ba68730f8c6d7074272a41;2012;1;10.0;10.0;1;1;4;0;40;50;1.0;0
75323;ebf259da8fc799cefa430ccd79d4;2012;27;9.06888888889;1.0;17;325;0;0;40;32;12.037037037;0
75332;63165df763bd0f7b0ecf425b5b84;2012;1;4.0;4.0;1;1;4;0;1000;15;1.0;0
75337;d4e1ea5f661317bd915693dba5ef;2012;10;7.5;10.0;6;456;5;1;40;32;45.6;0
75344;a7491331345f5a5b2f4ae3b1bb69;2012;1;1.99;1.99;1;1;4;0;1000;32;1.0;0
75346;25447b1567a5b04d1680f359629f;2012;1;10.0;10.0;1;1;4;0;40;100;1.0;0
75349;d8f14da797e93f4e61f839812108;2012;3;2.66666666667;2.0;2;98;4;0;1000;100;32.6666666667;0
75353;686bad9e2d026ee1b79385965100;2012;24;4.0;3.0;15;638;5;1;1000;43;26.5833333333;1
75354;71374ffa68b6b0a19de08a220cbb;2012;16;8.56;10.0;12;569;6;1;20;32;35.5625;1
75367;4f3826b68862904fbe37d30d0c95;2012;5;3.0;3.0;1;53;1;0;1000;90;10.6;0
75387;775a40ab5bd8a85f3783f0b1ea96;2012;9;1.37433333333;0.792;5;115;0;0;1000;109;12.7777777778;0
75402;f77dce02224b68ad784d2c8ea9e4;2012;5;2.2826;2.482;2;6;3;0;1000;88;1.2;0
75403;078a5c8f0940706459ce66c99fe4;2012;3;36.6666666667;40.0;2;274;5;1;90;40;91.3333333333;0
75408;eb53e80e638723acdb1c1d48c187;2012;10;10.0;10.0;2;116;1;0;40;95;11.6;0
75416;ade46d5d88936a5efe21cc7520e7;2012;1;3.99;3.99;1;1;5;1;1000;32;1.0;1
75417;8ff42dcc092ccda852786e0511b1;2012;8;23.7475;50.0;7;74;1;0;40;32;9.25;0
75421;bd06e827b23db5f36c985f69fa6b;2012;1;10.0;10.0;1;1;5;1;40;50;1.0;0
75423;b78e7ddb99bf9738fc5e7824241d;2012;1;1.698;1.698;1;1;5;1;1000;109;1.0;0
75424;240bdcafc1a77446851d79807096;2012;7;1.41857142857;0.99;3;22;5;1;1000;32;3.14285714286;0
75428;3f5f3e54d843a61435c483df5de7;2012;7;4.07142857143;4.5;2;34;3;0;1000;43;4.85714285714;0
75430;bac8e30c0eb64d31557a45275453;2012;2;1.5;1.5;1;1;5;1;1000;43;0.5;0
75432;863ed3953538a77a8f588f16f4cc;2012;11;2.31818181818;1.5;3;128;6;1;1000;43;11.6363636364;0
75434;fc8165015e91ee33151fe99e9922;2012;2;3.0;1.5;2;22;5;1;1000;43;11.0;0
75435;97a8a576256f1aae66e320e97330;2012;7;3.97742857143;5.819;3;353;1;0;1000;109;50.4285714286;0
75443;81066906bd651cb529f2c1057aa2;2012;1;10.0;10.0;1;1;5;1;20;32;1.0;0
75445;61d1a7436ae7b76d72f1dc4c55ab;2012;1;2.48;2.48;1;1;5;1;1000;88;1.0;0
75449;2efad6a7d8619afdcbd0c7e5a868;2012;8;3.0;4.5;6;332;0;0;1000;43;41.5;0
75462;6cfbb6ebf635bc315d481c1c6517;2012;14;2.56142857143;6.99;9;30;0;0;1000;32;2.14285714286;0
75471;e5e0f7b7ad8810d0b770b2e5be0f;2012;13;2.76923076923;4.0;1;1;5;1;1000;15;0.0769230769231;0
75474;0262638e2e65dda1b0b69f563b55;2012;3;5.073;1.746;2;254;0;0;1000;109;84.6666666667;0
75476;8251e0cb5fb0bd51d1eff6fde1c4;2012;11;8.63636363636;10.0;3;361;1;0;40;11;32.8181818182;0
75479;0da8f1c51ab4dd771be3f3d4431b;2012;1;10.0;10.0;1;1;5;1;40;11;1.0;0
75488;6e241b8a8e444e954ac2a73d2288;2012;1;5.901;5.901;1;1;5;1;1000;40;1.0;0
75495;86f82ef3eb2f35a8fb55e31012c6;2012;1;5.0;5.0;1;1;5;1;1000;57;1.0;0
75521;40699f4fffe3f021507cc94dc941;2012;3;4.32333333333;9.99;3;15;5;1;1000;32;5.0;0
75528;e135f3e7a74f1a646869b0e41ded;2012;2;5.99;1.99;2;4;1;0;1000;32;2.0;0
75554;dfc9aefcdd7c42ca185ab64dea5e;2012;8;2.0625;1.5;1;27;3;0;1000;43;3.375;0
75561;77247bafe5c13e586bb5a19fcb43;2012;2;17.5;10.0;1;1;5;1;40;32;0.5;0
75576;703eb072fb65153c29b42936edbb;2012;1;1.99;1.99;1;1;5;1;1000;32;1.0;0
75578;f0c688717867933f5d8bf635a577;2012;6;7.44083333333;7.441;1;3;0;0;1000;124;0.5;0
75589;660648cd3bf440ca7e4eac57eca5;2012;7;9.85428571429;10.0;6;307;4;0;40;32;43.8571428571;1
75600;a8237cacf5e4174d14e29cfd241d;2012;49;1.59183673469;1.5;37;209;4;0;1000;64;4.26530612245;0
75611;46a9dddeb45967984a8fb86e193c;2012;23;7.81608695652;9.99;19;117;2;0;1000;32;5.08695652174;0
75613;2766091650a4c0b73da21ebd47b5;2012;8;3.99;3.99;4;18;2;0;1000;32;2.25;0
75616;05e4dcc73a3e904003e7c8f45bc5;2012;10;3.45;3.0;1;108;1;0;1000;43;10.8;0
75618;548b458587e3fd8e58f9b431677c;2012;3;10.0;10.0;2;6;3;0;20;43;2.0;0
75621;16bf7b277d2808496201b356119b;2012;1;1.99;1.99;1;1;5;1;1000;32;1.0;0
75623;4e7270da9f394acf342d618a982d;2012;1;1.99;1.99;1;1;5;1;1000;32;1.0;0
75633;d6c8f6da4ce743b73f860d7cc737;2012;5;10.0;10.0;4;70;5;1;40;50;14.0;0
75657;3c1acbcd70e77b4f80d7d0785f50;2012;2;2.5;2.5;1;2;0;0;1000;57;1.0;0
75658;e02ec75e6c0fa5e26fd5b1dcc94d;2012;38;4.30684210526;9.99;10;288;6;1;1000;32;7.57894736842;0
75663;df57d1c228d9c0cf61a50c9c7b23;2012;40;6.49;1.99;18;559;4;0;1000;32;13.975;1
75679;f208acfae87af3a34f4d7b81648c;2012;1;20.0;20.0;1;1;6;1;20;40;1.0;0
75682;eed1127c1579b93052a2a65bebdf;2012;1;11.802;11.802;1;1;6;1;1000;4;1.0;0
75696;677eb5240d78a86c0d790e8491ec;2012;1;10.0;10.0;1;1;5;1;20;43;1.0;0
75699;59661965aed9016b74d411d077d1;2012;1;0.99;0.99;1;1;6;1;1000;32;1.0;0
75703;a6026fc7ad0a2e1ddc30fee6ed11;2012;4;10.878;12.622;4;137;2;0;1000;44;34.25;0
75709;ee4fbb26f214b1f98d0a523f2db9;2012;10;14.0;10.0;10;623;5;1;40;11;62.3;0
75715;a0d28bafdf3a0d9a5c365b855b6a;2012;20;3.8;2.0;2;299;3;0;1000;100;14.95;0
75721;33e66a0763aa63a604c0a369e9c6;2012;1;3.0;3.0;1;1;6;1;1000;43;1.0;0
75722;81e364e76eedf71bd101622b9e74;2012;35;11.1331428571;9.99;35;526;6;1;2000;32;15.0285714286;0
75726;7d9d403a7ec918a546b571bbc4b3;2012;9;14.4444444444;20.0;4;303;0;0;30;90;33.6666666667;0
75729;557131d3b0dc540c5826ee1ad8e8;2012;1;5.0;5.0;1;1;6;1;30;90;1.0;0
75733;c241e67c4360bba1a280aea5ec2e;2012;8;1.875;3.0;3;97;4;0;1000;43;12.125;0
75734;8f0e3974f2bba6d4612377ab6e82;2012;1;1.99;1.99;1;1;6;1;1000;32;1.0;0
75735;7f04b15d17f583f9c7901fdf853b;2012;18;3.82388888889;0.99;12;47;4;0;1000;32;2.61111111111;0
75742;5bc05d4dee30c86f85a17c682344;2012;2;20.0;20.0;1;25;2;0;30;90;12.5;0
75744;daa4674c660f76cbb3c2eb139652;2012;2;15.0;20.0;1;91;6;1;20;90;45.5;0
75746;803798fcfea4f4784ad4b56b5169;2012;4;67.5;100.0;1;46;2;0;80;15;11.5;0
75747;a40e05c6466cf8d3632535ab2b23;2012;2;4.5;4.5;1;1;6;1;1000;43;0.5;0
